id,hanzi,simplified,pinyin,enUS,esES,exampleCN,examplePinyin,exampleES,hsk,tags
a91f3c2d4e01,感恩節,感恩节,gǎn’ēn jié,Thanksgiving (U.S. holiday),Acción de gracias,我們全家人一起過感恩節。,Wǒmen quánjiā rén yìqǐ guò Gǎn'ēnjié.,Toda nuestra familia celebra el Día de Acción de Gracias junta.,0,Book3_Lesson3
b02e4d5a6f12,嗨,嗨,hāi,Hi!,¡Hola!,嗨！好久不見，你最近好嗎？,"Hāi! Hǎojiǔ bújiàn, nǐ zuìjìn hǎo ma?","¡Hola! Tanto tiempo sin verte, ¿cómo has estado últimamente?",0,Book3_Lesson3
c13f6a7b8d23,過,过,guò,spend; celebrate (a holiday),pasar; celebrar (un festivo),你想怎麼過你的生日？,Nǐ xiǎng zěnme guò nǐ de shēngrì?,¿Cómo quieres pasar tu cumpleaños?,0,Book3_Lesson3
d24a7b8c9e34,趕快,赶快,gǎnkuài,hurry up; immediately,date prisa; inmediatamente,快下雨了，我們趕快回家吧。,"Kuài xiàyǔ le, wǒmen gǎnkuài huíjiā ba.","Va a llover pronto, apurémonos a casa.",0,Book3_Lesson3
e35b8c9d0f45,外國,外国,wàiguó,foreign country,país extranjero,他很喜歡去外國旅遊。,Tā hěn xǐhuān qù wàiguó lǚyóu.,A él le gusta mucho viajar a países extranjeros.,0,Book3_Lesson3
f46c9d0e1a56,熱鬧,热闹,rènào,lively; bustling,animado; bullicioso,過年的時候，街上非常熱鬧。,"Guònián de shíhòu, jiēshàng fēicháng rènào.","Durante el Año Nuevo, las calles están muy animadas.",0,Book3_Lesson3
0a57d0e1b267,可以,可以,kěyǐ,may; might,puede; podría,請問，我可以坐在這裡嗎？,"Qǐngwèn, wǒ kěyǐ zuò zài zhèlǐ ma?","Disculpe, ¿puedo sentarme aquí?",0,Book3_Lesson3
1b68e1f2c378,參加,参加,cānjiā,participate; take part in,participar,歡迎參加我們的活動。,Huānyíng cānjiā wǒmen de huódòng.,Bienvenido a participar en nuestras actividades.,0,Book3_Lesson3
2c79f2a3d489,菜,菜,cài,food; dish,plato; comida,這家餐廳的菜非常好吃。,Zhè jiā cāntīng de cài fēicháng hǎochī.,La comida de este restaurante es muy deliciosa.,0,Book3_Lesson3
3d8a03b4e59a,怕,怕,pà,to be afraid,temer; tener miedo,我很怕黑，不敢一個人睡覺。,"Wǒ hěn pà hēi, bù gǎn yígè rén shuìjiào.","Tengo mucho miedo a la oscuridad, no me atrevo a dormir solo.",0,Book3_Lesson3
4e9b14c5f6ab,來不及,来不及,lái bu jí,not have enough time,no llegar a tiempo,對不起，我來不及參加會議了。,"Duìbùqǐ, wǒ láibùjí cānjiā huìyì le.","Lo siento, no llego a tiempo para participar en la reunión.",0,Book3_Lesson3
5fab25d6a7bc,早,早,zǎo,early,temprano,現在不早了，我們該走了。,"Xiànzài bù zǎo le, wǒmen gāi zǒu le.","Ya no es temprano, deberíamos irnos.",0,Book3_Lesson3
6abc36e7b8cd,一點,一点,yìdiǎn,a bit; a little,un poco,請給我一點時間考慮一下。,Qǐng gěi wǒ yìdiǎn shíjiān kǎolǜ yíxià.,"Por favor, dame un poco de tiempo para pensarlo.",0,Book3_Lesson3
7bcd47f8c9de,幫忙,帮忙,bāngmáng,help; assist,ayudar,謝謝你幫忙我搬家。,Xièxiè nǐ bāngmáng wǒ bānjiā.,Gracias por ayudarme a mudarme.,0,Book3_Lesson3
8cde5809d0ef,這樣,这样,zhèyàng,in this way,de esta manera,你這樣做是不對的。,Nǐ zhèyàng zuò shì bú duì de.,Hacerlo de esta manera no es correcto.,0,Book3_Lesson3
9def691a1f01,建議,建议,jiànyì,suggestion,sugerencia,你有什麼好的建議嗎？,Nǐ yǒu shéme hǎo de jiànyì ma?,¿Tienes alguna buena sugerencia?,0,Book3_Lesson3
af017a2b2a12,烤,烤,kǎo,bake; roast,asar; hornear,我們晚上去吃烤肉吧。,Wǒmen wǎnshàng qù chī kǎoròu ba.,Vamos a comer carne asada (barbacoa) esta noche.,0,Book3_Lesson3
b1028b3c3b23,火雞,火鸡,huǒjī,turkey,pavo,感恩節一定要吃火雞。,Gǎn'ēnjié yídìng yào chī huǒjī.,En Acción de Gracias hay que comer pavo.,0,Book3_Lesson3
c2139c4d4c34,馬鈴薯泥,马铃薯泥,mǎlíngshǔ ní,mashed potatoes,puré de patatas,這份馬鈴薯泥味道很淡。,Zhè fèn mǎlíngshǔ ní wèidào hěn dàn.,Este puré de papas tiene un sabor muy suave.,0,Book3_Lesson3
d324ad5e5d45,沙拉,沙拉,shālā,salad,ensalada,我想點一份水果沙拉。,Wǒ xiǎng diǎn yífèn shuǐguǒ shālā.,Quiero pedir una ensalada de frutas.,0,Book3_Lesson3
e435be6f6e56,麵包,面包,miànbāo,bread; rolls,pan,早餐我通常吃麵包。,Zǎocān wǒ tōngcháng chī miànbāo.,Normalmente como pan para el desayuno.,0,Book3_Lesson3
f546cf707f67,甜點,甜点,tiándiǎn,dessert,postre,這家店的甜點很有名。,Zhè jiā diàn de tiándiǎn hěn yǒumíng.,Los postres de esta tienda son muy famosos.,0,Book3_Lesson3
0757d0818a78,南瓜派,南瓜派,nánguā pài,pumpkin pie,pastel de calabaza,南瓜派是感恩節必吃的甜點。,Nánguā pài shì Gǎn'ēnjié bì chī de tiándiǎn.,El pastel de calabaza es un postre imprescindible en Acción de Gracias.,0,Book3_Lesson3
1868e1929b89,好像,好像,hǎoxiàng,it seems that…,parece que…,今天好像要下雨了。,Jīntiān hǎoxiàng yào xiàyǔ le.,Parece que hoy va a llover.,0,Book3_Lesson3
2979f2a3ac9a,或是,或是,huòshì,or…,o bien…,你可以喝茶或是咖啡。,Nǐ kěyǐ hē chá huòshì kāfēi.,Puedes beber té o café.,0,Book3_Lesson3
3a8a03b4bdab,開心,开心,kāixīn,happy,feliz,見到你我很高興，真的很開心。,"Jiàndào nǐ wǒ hěn gāoxìng, zhēnde hěn kāixīn.","Me alegra mucho verte, estoy realmente feliz.",0,Book3_Lesson3
